"Year","Country","Region","Indicator","Geo","EnterpriseSize","Activity","Unit","Value","Flags","Note"
"2023A00","Greece","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",15.2156,NA,NA
"2023A00","Slovakia","Not applicable","Enterprises with e-commerce sales of at least 1% turnover","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",15.2388,NA,NA
"2023A00","Romania","Sud - Muntenia","Enterprises where more than 50% of the persons employed have access to the internet for business purposes","RO31","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",15.2465,NA,NA
"2023A00","Romania","Not applicable","Use two or more social media (as of 2014)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",15.3053,NA,NA
"2023A00","Romania","Not applicable","Enterprises buying sophisticated or intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM, CC_PSEC, CC_PDB, CC_PDEV","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",15.517,NA,NA
"2023A00","Hungary","Ã‰szak-AlfÃ¶ld","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","HU32","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",15.5734,NA,NA
"2023A00","Romania","Macroregiunea trei","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","RO3","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",15.6921,NA,NA
"2023A00","Slovenia","Vzhodna Slovenija","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","SI03","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",15.8715,NA,NA
"2023A00","Sweden","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",15.936,"b",NA
"2023A00","Hungary","DÃ©l-AlfÃ¶ld","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","HU33","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",16.1343,NA,NA
"2023A00","Austria","Wien","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","AT13","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",16.2601,NA,NA
"2023A00","Romania","Macroregiunea patru","Enterprises who have ERP software package to share information between different functional areas","RO4","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",16.2775,NA,NA
"2023A00","Latvia","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",16.4652,NA,NA
"2023A00","Belgium","RÃ©gion de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest","Enterprises use at least one of the AI technologies: AI_TTM, AI_TSR, AI_TNLG, AI_TIR, AI_TML, AI_TPA, AI_TAR","BE1","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",16.7477,NA,NA
"2023A00","Romania","Nord-Est","Enterprises where more than 50% of the persons employed have access to the internet for business purposes","RO21","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",16.8226,NA,NA
"2023A00","Hungary","DunÃ¡ntÃºl","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","HU2","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",16.9465,NA,NA
"2023A00","Portugal","Not applicable","Enterprises with e-commerce sales of at least 1% turnover","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.0378,NA,NA
"2023A00","Croatia","Sjeverna Hrvatska","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","HR06","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.2033,NA,NA
"2023A00","Hungary","Not applicable","Use two or more social media (as of 2014)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.2587,NA,NA
"2023A00","Slovakia","Slovensko","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","SK0","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.3905,NA,NA
"2023A00","Slovakia","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.3905,NA,NA
"2023A00","Romania","Vest","Enterprises where more than 50% of the persons employed have access to the internet for business purposes","RO42","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.419,NA,NA
"2023A00","Romania","Centru","Buy cloud computing services used over the internet","RO12","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.4238,NA,NA
"2023A00","Latvia","Not applicable","Enterprises with e-commerce sales of at least 1% turnover","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.4289,NA,NA
"2023A00","Romania","Macroregiunea unu","Buy cloud computing services used over the internet","RO1","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.4764,NA,NA
"2023A00","Bulgaria","Not applicable","Buy cloud computing services used over the internet","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.499,NA,NA
"2023A00","Romania","Nord-Vest","Buy cloud computing services used over the internet","RO11","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.52,NA,NA
"2023A00","Croatia","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.5609,NA,NA
"2023A00","Romania","Centru","Enterprises where more than 50% of the persons employed have access to the internet for business purposes","RO12","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.7284,NA,NA
"2023A00","Hungary","KÃ¶zÃ©p-DunÃ¡ntÃºl","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","HU21","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.7856,NA,NA
"2023A00","Ireland","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.8136,NA,NA
"2023A00","Hungary","Nyugat-DunÃ¡ntÃºl","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","HU22","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",17.9609,NA,NA
"2023A00","Estonia","Not applicable","Enterprises with e-commerce sales of at least 1% turnover","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",18.0196,NA,NA
"2023A00","Slovenia","Not applicable","Enterprises with e-commerce sales of at least 1% turnover","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",18.0529,NA,NA
"2023A00","Greece","Not applicable","Enterprises buying sophisticated or intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM, CC_PSEC, CC_PDB, CC_PDEV","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",18.0664,NA,NA
"2023A00","Croatia","Jadranska Hrvatska","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","HR03","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",18.2465,NA,NA
"2023A00","Romania","Centru","Enterprises who have ERP software package to share information between different functional areas","RO12","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",18.2862,NA,NA
"2023A00","Croatia","Jadranska Hrvatska","Enterprises who have ERP software package to share information between different functional areas","HR03","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",18.3108,NA,NA
"2023A00","Greece","Not applicable","Enterprises with e-commerce sales of at least 1% turnover","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",18.3732,NA,NA
"2023A00","Romania","Not applicable","Buy cloud computing services used over the internet","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",18.3958,NA,NA
"2023A00","Spain","Centro (ES)","Buy cloud computing services used over the internet","ES4","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",18.7759,NA,NA
"2023A00","Spain","Illes Balears","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES53","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",18.9439,NA,NA
"2023A00","Croatia","Panonska Hrvatska","Enterprises who have ERP software package to share information between different functional areas","HR02","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.0304,NA,NA
"2023A00","Slovenia","Not applicable","Data analytics for the enterprise is performed by the enterprise's own employees or by an external provider","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.0569,NA,NA
"2023A00","Austria","Burgenland (AT)","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","AT11","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.1398,NA,NA
"2023A00","Italy","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.1755,NA,NA
"2023A00","Spain","Cantabria","Buy cloud computing services used over the internet","ES13","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.2289,NA,NA
"2023A00","Poland","Not applicable","Data analytics for the enterprise is performed by the enterprise's own employees or by an external provider","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.3133,NA,NA
"2023A00","Spain","Extremadura","Buy cloud computing services used over the internet","ES43","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.3439,NA,NA
"2023A00","Estonia","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.3619,NA,NA
"2023A00","Croatia","Hrvatska","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","HR0","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.3639,NA,NA
"2023A00","Croatia","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.3639,NA,NA
"2023A00","Czechia","Not applicable","Data analytics for the enterprise is performed by the enterprise's own employees or by an external provider","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.4924,NA,NA
"2023A00","Germany","Not applicable","Enterprises with e-commerce sales of at least 1% turnover","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.5555,NA,NA
"2023A00","European Union - 27 countries (from 2020)","Not applicable","Enterprises with e-commerce sales of at least 1% turnover","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.705,NA,"FI: Time series in this variable are easily affected by nonresponse in value"
"2023A00","Hungary","Pest","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","HU12","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.8222,NA,NA
"2023A00","Czechia","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.8455,NA,NA
"2023A00","Spain","Ciudad de Ceuta","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES63","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",19.8851,NA,NA
"2023A00","Spain","Extremadura","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES43","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",20.0335,NA,NA
"2023A00","Bulgaria","Severozapaden","Enterprises where more than 50% of the persons employed have access to the internet for business purposes","BG31","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",20.1381,NA,NA
"2023A00","Spain","La Rioja","Buy cloud computing services used over the internet","ES23","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",20.3103,NA,NA
"2023A00","Spain","Comunidad Foral de Navarra","Buy cloud computing services used over the internet","ES22","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",20.3332,NA,NA
"2023A00","Slovenia","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",20.3501,NA,NA
"2023A00","Slovenia","Slovenija","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","SI0","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",20.3501,NA,NA
"2023A00","Bulgaria","Severen tsentralen","Enterprises where more than 50% of the persons employed have access to the internet for business purposes","BG32","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",20.3745,NA,NA
"2023A00","Hungary","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",20.46,NA,NA
"2023A00","Poland","Not applicable","Use two or more social media (as of 2014)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",20.6153,NA,NA
"2023A00","Portugal","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",20.8213,NA,NA
"2023A00","Spain","Ciudad de Ceuta","Buy cloud computing services used over the internet","ES63","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",20.8267,NA,NA
"2023A00","Cyprus","Not applicable","Enterprises with e-commerce sales of at least 1% turnover","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",20.9304,NA,NA
"2023A00","Romania","Bucuresti - Ilfov","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","RO32","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",20.9843,NA,NA
"2023A00","Slovakia","VÃ½chodnÃ© Slovensko","Enterprises who have ERP software package to share information between different functional areas","SK04","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",21.09,NA,NA
"2023A00","Austria","Not applicable","Enterprises with e-commerce sales of at least 1% turnover","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",21.2623,NA,NA
"2023A00","Bulgaria","Yugozapadna i yuzhna tsentralna Bulgaria","Buy cloud computing services used over the internet","BG4","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",21.3301,NA,NA
"2023A00","Romania","Macroregiunea unu","Enterprises where more than 50% of the persons employed have access to the internet for business purposes","RO1","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",21.3531,NA,NA
"2023A00","Romania","Nord-Est","Enterprises who have ERP software package to share information between different functional areas","RO21","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",21.3608,NA,NA
"2023A00","Romania","Vest","Enterprises who have ERP software package to share information between different functional areas","RO42","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",21.3899,NA,NA
"2023A00","Lithuania","Not applicable","Use two or more social media (as of 2014)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",21.4248,NA,NA
"2023A00","Slovakia","Not applicable","Use two or more social media (as of 2014)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",21.4815,NA,NA
"2023A00","Spain","Castilla-la Mancha","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES42","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",21.4816,NA,NA
"2023A00","Bulgaria","Not applicable","Enterprises who have ERP software package to share information between different functional areas","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",21.6982,NA,NA
"2023A00","Malta","Not applicable","Enterprises where web sales are more than 1% of total turnover and B2C web sales more than 10% of the web sales","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",21.8375,NA,NA
"2023A00","Bulgaria","Not applicable","Data analytics for the enterprise is performed by the enterprise's own employees or by an external provider","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",21.8583,NA,NA
"2023A00","Romania","Not applicable","Data analytics for the enterprise is performed by the enterprise's own employees or by an external provider","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",21.8708,NA,NA
"2023A00","Bulgaria","Yuzhen tsentralen","Enterprises where more than 50% of the persons employed have access to the internet for business purposes","BG42","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",22.0412,NA,NA
"2023A00","Romania","Macroregiunea unu","Enterprises who have ERP software package to share information between different functional areas","RO1","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",22.0899,NA,NA
"2023A00","Spain","Galicia","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES11","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",22.1532,NA,NA
"2023A00","Spain","Canarias","Buy cloud computing services used over the internet","ES70","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",22.2906,NA,NA
"2023A00","Spain","Canarias","Buy cloud computing services used over the internet","ES7","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",22.2906,NA,NA
"2023A00","Hungary","Not applicable","Enterprises with e-commerce sales of at least 1% turnover","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",22.425,NA,NA
"2023A00","Austria","KÃ¤rnten","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","AT21","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",22.4812,NA,NA
"2023A00","Romania","Not applicable","Enterprises who have ERP software package to share information between different functional areas","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",22.6148,NA,NA
"2023A00","Croatia","Not applicable","Use two or more social media (as of 2014)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",22.633,NA,NA
"2023A00","Bulgaria","Yugoiztochen","Enterprises where more than 50% of the persons employed have access to the internet for business purposes","BG34","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",22.9075,NA,NA
"2023A00","France","Not applicable","Enterprises buying sophisticated or intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM, CC_PSEC, CC_PDB, CC_PDEV","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",22.9478,"b","break in series due to change of sutatistical unit from legal unit to enterprise in 2022"
"2023A00","Spain","Centro (ES)","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES4","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",22.9838,NA,NA
"2023A00","Spain","Castilla y LeÃ³n","Buy cloud computing services used over the internet","ES41","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",23.0718,NA,NA
"2023A00","Spain","RegiÃ³n de Murcia","Buy cloud computing services used over the internet","ES62","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",23.2806,NA,NA
"2023A00","Estonia","Not applicable","Use two or more social media (as of 2014)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",23.3466,NA,NA
"2023A00","Spain","Comunitat Valenciana","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES52","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",23.3634,NA,NA
"2023A00","Czechia","Not applicable","Enterprises with e-commerce sales of at least 1% turnover","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",23.5864,NA,NA
"2023A00","Greece","Not applicable","Buy cloud computing services used over the internet","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",23.5896,NA,NA
"2023A00","Spain","Galicia","Buy cloud computing services used over the internet","ES11","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",23.621,NA,NA
"2023A00","Austria","Not applicable","Data analytics for the enterprise is performed by the enterprise's own employees or by an external provider","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",23.9362,NA,NA
"2023A00","Spain","Illes Balears","Buy cloud computing services used over the internet","ES53","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",23.9603,NA,NA
"2023A00","Spain","Noroeste (ES)","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES1","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",24.1232,NA,NA
"2023A00","Romania","Nord-Vest","Enterprises where more than 50% of the persons employed have access to the internet for business purposes","RO11","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",24.3556,NA,NA
"2023A00","Spain","AndalucÃ­a","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES61","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",24.4954,NA,NA
"2023A00","Slovenia","Zahodna Slovenija","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","SI04","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",24.5007,NA,NA
"2023A00","Finland","Not applicable","Enterprises with e-commerce sales of at least 1% turnover","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",24.5071,NA,"Time series in this variable are easily affected by nonresponse in value"
"2023A00","France","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",24.5435,NA,NA
"2023A00","Bulgaria","Severna i yugoiztochna Bulgaria","Enterprises where more than 50% of the persons employed have access to the internet for business purposes","BG3","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",24.5786,NA,NA
"2023A00","Spain","Noroeste (ES)","Buy cloud computing services used over the internet","ES1","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",24.6363,NA,NA
"2023A00","Spain","Sur (ES)","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES6","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",24.7123,NA,NA
"2023A00","Bulgaria","Yugozapaden","Buy cloud computing services used over the internet","BG41","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",24.9376,NA,NA
"2023A00","Greece","Not applicable","Data analytics for the enterprise is performed by the enterprise's own employees or by an external provider","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",24.9975,NA,NA
"2023A00","Netherlands","Not applicable","Enterprises with e-commerce sales of at least 1% turnover","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.1394,NA,NA
"2023A00","Spain","Sur (ES)","Buy cloud computing services used over the internet","ES6","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.1713,NA,NA
"2023A00","Slovakia","StrednÃ© Slovensko","Enterprises who have ERP software package to share information between different functional areas","SK03","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.2223,NA,NA
"2023A00","Romania","Nord-Vest","Enterprises who have ERP software package to share information between different functional areas","RO11","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.2406,NA,NA
"2023A00","Spain","Canarias","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES7","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.3261,NA,NA
"2023A00","Spain","Canarias","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES70","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.3261,NA,NA
"2023A00","Hungary","KÃ¶zÃ©p-MagyarorszÃ¡g","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","HU1","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.3643,NA,NA
"2023A00","Croatia","Hrvatska","Enterprises who have ERP software package to share information between different functional areas","HR0","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.3888,NA,NA
"2023A00","Croatia","Not applicable","Enterprises who have ERP software package to share information between different functional areas","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.3888,NA,NA
"2023A00","Austria","SÃ¼dÃ¶sterreich","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","AT2","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.4398,NA,NA
"2023A00","Estonia","Not applicable","Data analytics for the enterprise is performed by the enterprise's own employees or by an external provider","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.5656,NA,NA
"2023A00","Romania","Not applicable","Enterprises where more than 50% of the persons employed have access to the internet for business purposes","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.583,NA,NA
"2023A00","Spain","RegiÃ³n de Murcia","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES62","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.6014,NA,NA
"2023A00","Spain","Castilla y LeÃ³n","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES41","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.6297,NA,NA
"2023A00","Spain","AndalucÃ­a","Buy cloud computing services used over the internet","ES61","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.7434,NA,NA
"2023A00","European Union - 27 countries (from 2020)","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.752,NA,NA
"2023A00","Austria","NiederÃ¶sterreich","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","AT12","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.7748,NA,NA
"2023A00","Spain","Cantabria","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES13","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",25.9997,NA,NA
"2023A00","Slovakia","Slovensko","Enterprises who have ERP software package to share information between different functional areas","SK0","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",26.1862,NA,NA
"2023A00","Slovakia","Not applicable","Enterprises who have ERP software package to share information between different functional areas","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",26.1862,NA,NA
"2023A00","Latvia","Not applicable","Use two or more social media (as of 2014)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",26.4578,NA,NA
"2023A00","Italy","Not applicable","Data analytics for the enterprise is performed by the enterprise's own employees or by an external provider","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",26.6056,NA,NA
"2023A00","Austria","Steiermark","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","AT22","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",26.69,NA,NA
"2023A00","France","Not applicable","Buy cloud computing services used over the internet","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",26.7592,"b","break in series due to change of sutatistical unit from legal unit to enterprise in 2022"
"2023A00","Slovakia","ZÃ¡padnÃ© Slovensko","Enterprises who have ERP software package to share information between different functional areas","SK02","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",26.8327,NA,NA
"2023A00","Spain","AragÃ³n","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES24","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",27.0249,NA,NA
"2023A00","Spain","Not applicable","Enterprises buying sophisticated or intermediate CC services, at least one of: CC_PFACC, CC_PERP, CC_PCRM, CC_PSEC, CC_PDB, CC_PDEV","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",27.2492,NA,NA
"2023A00","Austria","Tirol","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","AT33","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",27.3559,NA,NA
"2023A00","Slovakia","VÃ½chodnÃ© Slovensko","Buy cloud computing services used over the internet","SK04","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",27.3692,NA,NA
"2023A00","Spain","La Rioja","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","ES23","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",27.4116,NA,NA
"2023A00","Ireland","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",27.4674,NA,NA
"2023A00","Germany","Not applicable","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",27.4888,NA,NA
"2023A00","Croatia","Grad Zagreb","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","HR05","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",27.5385,NA,NA
"2023A00","Belgium","RÃ©gion wallonne","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","BE3","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",27.6451,NA,NA
"2023A00","Slovakia","BratislavskÃ½ kraj","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","SK01","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",27.6614,NA,NA
"2023A00","Portugal","Not applicable","Use two or more social media (as of 2014)","_z","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",27.7314,NA,NA
"2023A00","Spain","Noreste (ES)","Buy cloud computing services used over the internet","ES2","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",27.8658,NA,NA
"2023A00","Hungary","Budapest","Enterprises using Customer Relationship Management (CRM) software (as of 2023)","HU11","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",27.9472,NA,NA
"2023A00","Spain","Comunitat Valenciana","Buy cloud computing services used over the internet","ES52","10 persons employed or more","All activities, without financial sector","Percentage of enterprises",28.3743,NA,NA
